tokens,LOC,ORG,PER,sentiment,neutral,positive
uspel sedanji predsednik blaž kavčič sedanji predsednik ds kavčič z,0,1,0,3,1,-1
žerjati najbolj sls pod pogost vleči poteza humanističen študija odločitev da na zaostriti še odločitev in članov on saj jesti nenazadnje tudi eden kda jesti žerjava magister kemija jesti postati poslanec v dz poslanec sls v maj 2009 ta pa poleg odločitev navajati še da sam odločitev za usoda koalicija politik sls pod sicer že nekaj,0,0,1,3,1,-1
jesti dokaz težava makarovič eden ključen ministrov kda jesti v prvi janšev jesti po odhod koalicija drug janšev jesti postati njen član koalicija za prihajati v neugoden,0,1,0,3,1,-1
jesti po odhod podobnik let 2000,0,0,1,3,1,-1
noga ponoven postaviti lendav v,0,1,0,3,1,-1
v prvi vlada jesti po v koalicija drug vlada jesti postati na izjava premier janša izpred čas,0,0,1,3,1,-1
posledičen spor z n parlamentaren,0,1,0,3,1,-1
jesti po sestop šrot postati vodja,0,0,1,3,1,-1
še današnji izjava erjavec po klavzura,0,0,1,3,1,-1
se sls odreči v trenutek,0,0,1,3,1,-1
o kateri poročati in slovenski novica,0,1,0,3,1,-1
poročati del in novica naj,0,1,0,3,1,-1
organizator protest v saš pelka požig radar v pa rok peč organizator protest v drugi svetniški volitve v pa naj biti ekskluziven zgodba iz ki na o stanje v jesti,1,0,0,3,1,-1
protest v maribor pelka marko gled anonimen pismo po in direktor podjetje biti naj nekdanji član stranka in pozneje zares as in pozneje na svetniški prijatelj spleten koordinator pigac in matej marko pigac in špehar,0,0,1,3,1,-1
marko pigaca in špehar začeten rok peč in špehar vpletenost zanikati distribuirati strokovnjak za facebook za facebook z pa pismo navajati slovenski strokovnjak za j j bivši novinar hiti in prijatelj hiti in prijatelj pelek n,0,0,1,3,1,-1
v maribor pa peč brat peč brat peči marko marko pigaca peč in mateja naj biti biti pismo še navajati koordinator požig radar peč operativen,0,0,1,3,1,-1
solidarnost na omrežje in twitter špehar strokovnjak za z špehar pa na svoj oseben profil realen poročati,0,1,0,3,1,-1
omrežje facebook in vs več,0,1,0,3,1,-1
spleten stran kangler naj odstop odstop kot župan,0,0,1,3,1,-1
stopiti tudi že murka jerneja,0,0,1,3,1,-1
mitja murka šteb igor,0,0,1,3,1,-1
jerneja šteb janžekovič krivda,0,0,1,3,1,-1
pripor podaljšati strahinić ki medij petintridesetleten jesti svoj dejanje da se takoj izpustiti na,0,0,1,4,0,1
na protest v 3 december in obup v jesti potekati okrogel na protest v 3 december,1,0,0,3,1,-1
dom starostnik v j poročen,1,0,0,3,1,-1
moči dom jesti danes na jesti po podatek udeležiti okoli osem,0,1,0,3,1,-1
jesti danes na tudi sporočiti,0,1,0,3,1,-1
biti poklican še podgrajski mateja,0,0,1,3,1,-1
borut podgrajski lorber nika nina krtanjek štampar in,0,0,1,2,0,0
mateja lorber štampar saneti lorber in merdaus krivda,0,0,1,2,0,0
nika štampar canović jerneja biti priznati jesti krivda priznati,0,0,1,2,0,0
saneti canović bohek antonio,0,0,1,3,1,-1
jerneja bohek merdaus jurij štampar in krivda biti priznati,0,0,1,2,0,0
antonio merdaus škerget in nina,0,0,1,3,1,-1
jurij škerget in krtanjek lorber,0,0,1,3,1,-1
poudarjati da danes demokrat biti proti sprememba zakonodaja jesti po lukšičev jesti povedati pozdravljati da prava tak vesel da p opozorilo jesti nujen še z biti prioriteta kakovosten sds se odločati za v država v se s priprava se na napoved odzvati v sds finance današnji napoved biti komentirati položaj stališče da biti in bogatenje podpornik na en stran,0,1,0,3,1,-1
jesti predsednik igor lukšič povedati jesti predsednik sd lukšič povedati na sd jesti po opozorilo za čim navajati prava tak jesti poudariti sds,0,1,0,3,1,-1
v pismo predsednik in sds janez predsednik vlada in janez janša vlada in sds janša sds,0,1,0,3,1,-1
janez janša jesti namreč v se jesti tudi pridružiti pobuda za da jesti oceniti pokojninski reforma poudariti lukšič sd se sd odzvati v kota biti ponoven poudariti v jesti biti po navedba omogočiti očiščenje bančen jesti po mnenje atentat na biti prepričan v v sds sds v biti ob ta,0,1,0,3,1,-1
v okvir pristojnost biti pojasniti,0,1,0,3,1,-1
biti zadržati n za finance današnji,0,1,0,3,1,-1
pomemben voditeljev nekdanji rep petek jesti umrl popiti nekdanji nekdanji predsednik socialističen republika slovenija nekdanji predsednik predsedstvo republika slovenija slovenski in jugoslovanski predsednik slovenski sindikat in predsednik komite zveza komunistov predsednik centralen komite komunistov slovenija proti kavčič popiti jesti pripadati jesti predsednik predsedstvo in jesti ta za predsednik predsedstvo a jesti strujati jesti biti tudi,1,0,0,3,1,-1
nekdanji jugoslavija biti jesti zgodovina opisovati zgodovinar rep v pojasnjevati p ta 13 let on opisovati kot pojasnjevati prevladati kučanov ki jesti po ocena še zelo razlaga nastal pojasnjevati in skleniti,0,0,1,3,1,-1
jesti postaviti proti kavčič v vodje obračun proti france popiti jesti delovati proti kavčič jesti postaviti proti in postati operativen,0,0,1,3,1,-1
jesti živeti na odmaknjen oda,1,0,0,3,1,-1
on v senca kardelje obvladovati s,0,0,1,3,1,-1
rep prevladati strujati poti se let 1986 prevzeti kučan se t jesti politika ki na konec prevladati strujati,0,0,1,3,1,-1
znotraj jesti biti frakcija tudi znotraj ne sam,0,1,0,3,1,-1
jesti razprava v zk vendar,0,1,0,3,1,-1
izrazit nastopati proti včasih tudi,1,0,0,3,1,-1
nekdanji predsednik uprava igor bavčar in predsednik uprava istrabenz bavčar in nekdanji nekdanji predsednik uprava igor bavčar jesti predsednik uprava istrabenz bavčar jesti danes potek sam za temveč tudi podoben kot da njegov da biti pridobiti premoženjski korist,0,1,0,3,1,-1
trgovanje z delnica nekdanji predsednik nekdanji šef in pivovarna laško trgovanje z delnica jesti biti vložen trgovanje z delnica biti morala danes odstoten delež pozneje pa odstoten delež ki on jesti microtrust prodati paketa p,0,1,0,3,1,-1
šef istrabenz in laško biti sicer istrabenz in pivovarna biti sicer začeti domneven sporen lastninjenje laško v sporen lastninjenje pivovarna v kateri zaradi menedžerski prevzem laško razdelitev menedžerski prevzem pivovarna razdelitev obtožnica ki on jesti laško prodati najprej on jesti pivovarna prodati najprej hčerinski,0,1,0,3,1,-1
še predsednik uprava holding nastje sušinski uprava maksima holding sušinski nekdanji microtrust v last sušinski ist,0,1,0,2,0,0
za finance v kristjan sušinski finance v istrabenz sušinski lastnik,0,1,0,2,0,0
sušinski lastnik bahtijar bajrović lastnik sportina bajrović kranjski,0,1,0,2,0,0
slamnat lastnica podjetje koloneti danijeti šrotov podjetje koloneti raković sportin,0,0,1,2,0,0
danijeti raković bled durox raković sportin durox in ves ever ta pa,0,1,0,3,1,-1
sportin bled in cogit,0,1,0,3,1,-1
durox in vendar biti,0,1,0,3,1,-1
jesti pivovarna prodati za ves,0,1,0,3,1,-1
milijon ever v last nastje ist dan jesti prodati istrabenz paketa,0,1,0,3,1,-1
prodati istrabenz paketa invest za,0,1,0,3,1,-1
biti denar morala evropski država mora v proračun kmetijski sredstvo biti morati v ever poleg biti denar vračati unija poleg biti ta še,1,0,0,3,1,-1
skupen jesti sicer oda članica unija,1,0,0,3,1,-1
biti ta še bolgarija še belgija češka bolgarija danska češka nemčija danska irska nemčija grčija irska španija grčija francija španija italija francija ciper italija litva ciper madžarski litva malt madžarski nizozemski malt poljska nizozemski romunij poljska slovaška romunij finski slovaška švedska in finski in velik britanija švedska in britanija največ,1,0,0,3,1,-1
največ morati vrniti milijon,0,0,1,3,1,-1
v kateri družba janez janša del janša in biti ostal sam,0,1,0,3,1,-1
kateri družba sds janša del le nezaupnica vlad janša jesti prvi iz sls in sds biti zaostriti predvsem med in predsednik dl 11 ministrov del vlada jesti biti,0,0,1,3,1,-1
janša del le po dober ostal sam z in edin ministrica,0,1,0,3,1,-1
najprej biti oditi list dl državljanski list in z janša in predsednik gregor virant,0,1,0,3,1,-1
dva minister šušteršič in senka,0,0,1,3,1,-1
janez šušteršič in pličanič dvaindvajseti,0,0,1,3,1,-1
biti vlada zapustiti erjavec in tomaž,0,0,1,3,1,-1
kareti erjavec in gantar iz desus,0,0,1,3,1,-1
tomaž gantar iz nazadnje pa,0,1,0,3,1,-1
nazadnje pa še bogovič in radovan,0,0,1,3,1,-1
franc bogovič in žerjava iz sls,0,0,1,3,1,-1
radovan žerjava iz janša in,0,1,0,3,1,-1
in edin ministrica novak navzven,0,0,1,3,1,-1
ves do poročiti za preprečevanje korupcija,0,1,0,3,1,-1
in predsednik dl virant namesto,0,0,1,3,1,-1
zunanjepolitičen pa s ž pred,1,0,0,3,1,-1
slab banka in niti zakon o niti zakon o državen holding nit,0,1,0,3,1,-1
oda primer tožba banka proti ljubljanski jesti obravnava zahtevati banka o in 2001 pooblastiti banka in privreden nato pa preko banka in pbz,0,1,0,3,1,-1
zagrebški banka proti banka in nov glede spor o hrvaški vlada izterjava izplačilo dolg ki biti izplačan hrvaški varčevalec p podatek hrvaški tožba proti in nlb na problem jesti treba rešiti,0,1,0,3,1,-1
ljubljanski banka in ljubljanski banka proti lb in na hrvaški sodišče,0,1,0,3,1,-1
občinski sodišče upati z eu men položaj jesti napovedati večernje list skleniti v sobota,0,0,1,3,1,-1
na morebiten dogovor in slovenija glede ratifikacija pristopen pogodba z eu srečati zunanji minister in slovenija da slovenija izsiljevati problem predsednikov slovenija in borut pahorje,1,0,0,3,1,-1
dogovor hrvaški in glede spor o on jesti postaviti za začetek postopek izjaviti da lahek oprava ratifikacija minister hrvaški in potem pa trditev da izsiljevati hrvaški potrjen srečanje predsednikov in hrvaški,1,0,0,3,1,-1
zagrebški banka in banka zagreb in privreden banka pbz banka zagreb da zagrebški banka in izplačan hrvaški varčevalec,0,1,0,3,1,-1
biti po razpad prenesti v hrvaški,1,0,0,3,1,-1
pogodba hrvaški z bratušek,1,0,0,3,1,-1
pogovor za današnji list izjaviti jesti pogovor za list skleniti bratuškov,0,1,0,3,1,-1
biti dosežen na men,1,0,0,3,1,-1
ali se biti in janša v,0,0,1,3,1,-1
biti milanović in v kratek srečati,0,0,1,3,1,-1
in hrvaški pahorje in iva,0,0,1,3,1,-1
borut pahorje in josipović ob,0,0,1,3,1,-1
rob slavnosten skupščina akademija znanost in,0,1,0,3,1,-1
in umetnost v,1,0,0,3,1,-1
odstotek v koper in celovški dvor v promet z ves trisoben stanovanje v padel za v okolica pa za podatek gurs za ki kazati najdrag stanovanje v poceni v stanovanje drag v ever precenjenost v koper in preceniti predvsem v koper in pa v okolica nov gorica,1,0,0,2,0,0
v ljubljana in na obati slediti jesti kjer jesti v ljubljana in na obati v ljubljana in na obati,1,0,0,2,0,0
koper in na pa biti nepremičnina koper in na cen nepremičnina biti koper in na nekolik manj,1,0,0,2,0,0
v leten poročilo uprava gurs država biti na v let 2009 biti oceniti na vprašanje pa p podatek biti se cena upoštevati tudi podatek za ljubljana ugotavljati na p pokazatelj še praviti na najverjeten scenarija še zapisati na,0,1,0,3,1,-1
uprava gurs dvor v ljubljana,0,1,0,3,1,-1
podatek statističen urad surs pa biti statističen urad rs pa biti se,1,0,0,3,1,-1
rabljen stanovanje fota slovenija najdrag stanovanje stanovanje fota banek najdrag stanovanje v,0,1,0,3,1,-1
poceni v sobota povprečen cena stanovanje biti v sobota,1,0,0,4,0,1
ever v gorica jesti biti okolica ljubljana gorica nov,1,0,0,3,1,-1
ever v ever,1,0,0,3,1,-1
ever v in v v maribor in ter v drug,1,0,0,3,1,-1
in v ever gorenjsko v jesti cena za ever v in celje ter,1,0,0,3,1,-1
nov gorica mesto in nekateri,1,0,0,3,1,-1
turističen kraj na v maribor,1,0,0,4,0,1
čarterski linija v biti lahek zaživeti leto leteti v v načrt,1,0,0,3,1,-1
pravi mastnak iz express tudi rusija mastnak ki pravi in dodajati dodajati iskati 20 p beseda se tuncer v pravi štirje interesent,0,0,1,3,1,-1
tom mastnak iz airways ki iskati 20 stevardesa airways ki damjan cehner airways ter nemški da se poleg airways pogovarjati še,0,1,0,3,1,-1
imeti sedež v leteti biti irak v in morda tudi,1,0,0,3,1,-1
leteti biti v in rusija omenjen polet na sever v nemčija,1,0,0,3,1,-1
v irak in omenjen letalski družba in morda tudi tom mastnak,1,0,0,3,1,-1
iz airati sem se jesti takraten lastnik air v avstrija,0,1,0,2,0,0
golden air v razglasiti oseben stečaj,1,0,0,3,1,-1
jesti v last tuncer imeti beseda mastnak se v prvi vrsta,0,0,1,3,1,-1
prevent globati kastivnik stečajen stečajen upravitelj globati jesti nov lastnik se na naš,0,0,1,3,1,-1
naj biti biti ing iz ivančen,0,1,0,3,1,-1
dig ing iz gorica aviofun,1,0,0,3,1,-1
ivančen gorica iz libelič v,0,1,0,3,1,-1
aviofun iz v solastništvo družba,1,0,0,3,1,-1
v solastništvo družba consulting in damjan,0,1,0,3,1,-1
fraktati consulting in cehner express,0,0,1,3,1,-1
burglada ug iz sicer pa,1,0,0,3,1,-1
sicer pa grosa prvi prvi mož maribor pravi prvi mož aerodrom pravi,0,0,1,3,1,-1
prek turističen agencija dogovarjati se,0,1,0,3,1,-1
se tudi s in adrio airways,0,1,0,3,1,-1
s kompas in airways,0,1,0,3,1,-1
andreja capuder kuntner in alenka da biti in puharjev izstopiti,0,0,1,3,1,-1
tone kuntner in puhar literat biti kuntner in izstopiti že zaradi,0,0,1,3,1,-1
poročanje spleten portati biti iz slovenski jančar jesti za sicer povedati,0,1,0,3,1,-1
časten razsodišče jesti za del,0,0,1,3,1,-1
navajanje zapis s ali izjava z,0,1,0,3,1,-1
jesti na današnji seja imenovati podpredsednik in nov državen nadomeščati predsednik če jesti pri predstavljanje vodenje vladen nanašati na zaupnica ter na imenovanje ministrov podpredsednik biti tak postati v kabinet premierka jesti danes imenovati obramba pa jesti na predlog obramben tuditi razreševati danes biti le gregor kos jesti razrešiti tudi,0,1,0,3,1,-1
predsednica vlada vont biti pristojen,0,0,1,3,1,-1
državljanski pobuda gašpar mišič biti,0,0,1,3,1,-1
informatika biti skrbeti kričej dušan,0,0,1,3,1,-1
dušan kričej kumera in jerneja,0,0,1,3,1,-1
dušan kumera in pavlič pa biti možnost jesti predsednik podmladek jesti predsednik podmladek slovenija in sin poslanka ta stranka pavlič n,0,0,1,3,1,-1
državen sekretar na za obramba pa roman jakič imenovati klemenčič z,0,1,0,3,1,-1
generalen sekretar na pa imenovati mojca mors pa imenovati ferjančič podbregar,0,1,0,3,1,-1
generalen sekretar na za izobraževanje znanost in šport rozman in na,0,1,0,3,1,-1
vršilec dolžnost imenovati kos vlad,0,0,1,3,1,-1
jesti razrešiti tudi rončević in imenovati,0,0,1,3,1,-1
rončević in imenovati krajcar za v d direktor za visok šolstvo,0,0,1,3,1,-1
položaj generalen direktor za šport jesti,0,1,0,3,1,-1
šport jesti razrešiti balent s,0,0,1,3,1,-1
položaj generalen direktor za investicija biti,0,1,0,3,1,-1
investicija biti razrešiti vihtelič,0,0,1,3,1,-1
kučan jesti v iz kriza pravi da pravi in dodajati jesti dejati za finance,0,0,1,3,1,-1
v intervju za dejati da kučan dejati za in dodati,0,1,0,3,1,-1
da biti tudi v prihodnost ali jesti vlada sposoben popeljati slovenija jesti biti nastop v bruselj dober pa jesti svetovati nastop na cnn janković v politika pravi da mnenje da ne voda stranka da jesti biti tudi v prihodnost,0,0,1,3,1,-1
prihodnost na čelo slovenija n prihodnost na čelo slovenija mora bit predsednik t jesti,0,1,0,3,1,-1
ali jesti bratuškov sposoben popeljati da jesti ta prevzeti nehvaležen dediščina medija s prejšnji biti biti zadovoljen voda stranka in suveren znati začeti zaradi janšev,0,1,0,3,1,-1
bratuškov sposoben popeljati iz kriza,1,0,0,3,1,-1
nastop bratuškov v dober medtem,1,0,0,3,1,-1
njen nastop na in mena biti iti na finančen minister uroš bratuškov nastop na jesti slab,0,1,0,3,1,-1
o vmešavanje janković gled vmešavanje janković v politika pravi da biti mrtev človek nerazumljiv stvar ne mora bit,0,0,1,3,1,-1
o vnovičen kandidatura janša v intervju o vnovičen kandidatura janša za mesto zahteva da ne smeti bit protest začeti zaradi vlada,0,0,1,2,0,0
za mesto predsednik t,0,1,0,3,1,-1
ti občina prebivalka romski naselje ti liti grma pet kilometer iz vas vendar,1,0,0,3,1,-1
industrijski cona krek najti kupec cona kz najti kupec jesti v last krek v last kz še drug občina vodstvo krek jesti potrdilo občina vodstvo kz jesti potrdilo zemljišče v last krek dva v last kz dva en,0,1,0,3,1,-1
država jesti škocjan odobriti da biti škocjan problem nezakonit vendar ne v občina in,1,0,0,2,0,0
milijon prispevati unija vreden,0,1,0,3,1,-1
odobren s stran za gospodarski razvoj in tehnologija ta praviti na večina pri,0,1,0,3,1,-1
naselje dobruška ti grma dodaja še pravi n ta,0,0,1,3,1,-1
zemljišče na relacija zagreb,1,0,0,3,1,-1
relacija ljubljana kupiti biti,1,0,0,3,1,-1
pravi direktor krek jure vončina pravi direktor kz jure vončina direktor kz krek vončina zemljišče,0,1,0,3,1,-1
en na v občina šmarješki,1,0,0,3,1,-1
na klevevž v šmarješki toplica,1,0,0,3,1,-1
drug pa v občina v,1,0,0,3,1,-1
priti tudi predstavnik internationala ter romski,0,1,0,3,1,-1
nov železniški postajališče gorica končati investicijski vrednost postajališče gorica jesti oceniti,1,0,0,3,1,-1
predviden še postaja most moste,1,0,0,3,1,-1
dolg most rudnik in,1,0,0,3,1,-1
moste in presk,1,0,0,3,1,-1
rudnik in zdati 13,1,0,0,3,1,-1
ljubljana polje,1,0,0,3,1,-1
zalog btc,1,0,0,3,1,-1
polje rakovnik,1,0,0,3,1,-1
btc vodmati,1,0,0,3,1,-1
rakovnik tivoli,1,0,0,3,1,-1
vodmati vižmar,1,0,0,3,1,-1
tivoli stegniti,1,0,0,3,1,-1
vižmar litostroj,1,0,0,3,1,-1
stegniti črnuča,1,0,0,3,1,-1
litostroj ježica in,1,0,0,3,1,-1
črnuča in brinja,1,0,0,3,1,-1
ježica in investicijski vrednost,1,0,0,3,1,-1
ta biti prenoviti cesta in avtobusen,1,0,0,3,1,-1
biti prispevati še brezovica edin,1,0,0,3,1,-1
on jesti pripraviti institut ljubljana pripraviti prometen institut ta jesti,0,1,0,3,1,-1
č ne,0,0,1,2,0,0
župan kapler o vas zarada bližina romski naselje ti biti,1,0,0,3,1,-1
v petek pri kapler župan kapler župan škocjan sniti,0,0,1,3,1,-1
državen sekretarka baluh vodja baluh vodja za narodnost,0,0,1,3,1,-1
romski svetnikov vončina direktor vončina direktor zadruga krek direktor kmetijski zadruga in blaž,0,0,1,3,1,-1
krek in kovač iz amnesty,0,0,1,3,1,-1
blaž kovač iz internationala sestanek,0,1,0,3,1,-1
udeležiti tudi v semiški straža pravi mesojedec predsednik mesojedec predsednik civilen iniciativa za še pravi govoriti o patrulja jesti odgovoriti da poudarjati pripraviti strategija za prostor in predstaviti občinski,0,0,1,3,1,-1
romski problematika,0,1,0,3,1,-1
že prenesti tudi ogulin nov nov direktor uprava nov mesto direktor policijski uprava mesto t,0,0,1,2,0,0
o orožje v miren piti,1,0,0,3,1,-1
na romski naselje biti,1,0,0,3,1,-1
se po beseda jerak pogovarjati o,0,0,1,3,1,-1
jutrišnji občinski svet občina nov mesto,1,0,0,3,1,-1
